Open,High,Low,Predicciones,Predicciones_Sin_Escalar
307.2,319.0,300.65,5.839430222758032,343.5835188131118
314.0,366.0,307.35,5.798962430352665,329.95702884240694
355.0,366.5,304.65,5.798962430352665,329.95702884240694
320.7,325.8,285.1,5.659679989908456,287.05676679403285
305.0,368.75,303.3,5.839430222758032,343.5835188131118
362.85,364.4,325.7,5.798962430352665,329.95702884240694
348.0,350.1,327.35,5.798962430352665,329.95702884240694
340.0,393.35,332.45,5.798962430352665,329.95702884240694
369.95,404.0,338.0,5.798962430352665,329.95702884240694
347.2,350.0,166.15,5.659679989908456,287.05676679403285
180.0,268.45,168.6,5.285042502535665,197.36257167963723
192.0,231.4,147.0,5.285042502535665,197.36257167963723
174.0,194.3,160.2,5.285042502535665,197.36257167963723
182.85,236.3,181.15,5.285042502535665,197.36257167963723
197.0,236.9,167.65,5.285042502535665,197.36257167963723
234.6,281.3,228.8,5.659679989908456,287.05676679403285
277.0,285.9,165.3,5.659679989908456,287.05676679403285
163.3,178.05,133.05,4.953189496312809,141.62595979086913
147.95,153.8,98.75,4.972026902018066,144.31911181469866
109.6,110.6,81.75,4.695178019932226,109.41828554389976
89.2,92.4,53.15,4.290468861213528,73.0006876679939
59.5,72.55,40.95,4.272615177017969,71.70892214394574
42.0,76.65,29.05,3.489068062782098,32.755407494330676
71.0,75.35,59.95,4.23233875405521,68.87813295959756
70.0,70.5,40.7,4.23233875405521,68.87813295959756
46.9,48.5,36.55,3.669810007784001,39.244449012121905
39.1,40.7,33.6,3.669810007784001,39.244449012121905
35.2,87.95,5.55,3.489068062782098,32.755407494330676
22.3,30.45,20.3,3.230190042298265,25.284461631602916
27.8,31.6,25.2,3.3677082872886595,29.011963728857435
27.75,31.95,25.55,3.3677082872886595,29.011963728857435
25.6,28.3,11.1,3.156203498488577,23.481279777729323
12.0,17.16,11.85,2.5522177143314657,12.835537797874116
14.3,15.34,12.75,2.603624107470449,13.51262059291358
13.3,14.01,12.11,2.5522177143314657,12.835537797874116
12.41,14.9,12.21,2.5522177143314657,12.835537797874116
